Rating,User,Category,Age,Date,Review,Review_cate
2,eskong74,가족여행으로 좋아요,40대,2024.08.17,1. 가이드 1) 팀 전체를 아우르는 능력 부족 시간에 늦는 팀이 있으면 개별적으로 찾아가서 시간 준수 협조 부탁드린다고 이야기해도 될 것인데 팀전체 모아놓고 뭐라 한다. 내가 잘못 하지 않았어도 듣기 불편해지고 팀 분위기도 싸~ 해진다. 2) 가족단위 여행인데 팀별로 사진 한 장씩도 안 찍어준다. 오사카 성 보구 사진찍었더니 마지막 날이라고 맘대로 하실거냐구 소리높인다. 고객들 땡볕에 모아 놓고 인터넷에 있는 이야기 주저리 주저리 하는데 그거 안 들었다고 죄송합니다 하니 미팅시간 알려준다. 다른 가이드님들은 똑같은 상...,"호텔 부대시설이 좋아요
식당이 청결해요
현지 음식이 맛있어요"
5,sky********,가족여행으로 좋아요,40대,2024.08.15,저희는 7월11일 2박 3일 일정으로 딸아이와 단둘이 처음 가는 해외 여행으로 패키지를 이용하게되었습니다. 둘이만 가는지라 겁도 나고 언어도 미숙한 지라 고민 끝에 패키지를 선택하게 되었는데 정말 탁월한 선택였다고 생각이 들정도였습니다. 또한 중학생 아이 시험기간을 고려해서 가는지라 우기인철에가서 걱정이있었는데요 오히려 그래서 너무 덥지 않게 적당히 잘 다녀올수있었습니다. 우선은 저희는 유니버셜이 들어있는 패키지를 선택했고 유니버셜 안에서는 저희가 자유일정으로 소화하는 부분이었지만 충분히 가능한 부분이었습니다. 우기여서 그런지...,"호텔이 시내에 있어요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요
객실이 깨끗해요
즐길 거리가 다양해요"
4,SYSTEMS,아동동반 여행으로 좋아요,40대,2024.08.15,자녀들과의 첫 일본 여행 이었는데 기대한만큼 좋은시간을 보냈습니다. 저에게는 첫 패키지여행이었고 선택하길 잘했다는 만족감이 들었습니다. 자녀들은 확실히 USJ를 제일 좋아하더라구요^^기사선생님도 친절하시고 이동이 편했구요 특히 강호준 가이드께서 일정안내 관광지설명을 잘해 주셔서 새로운 지식도 알게 되었고~여행중에 생기는 우여곡절상황들도 잘 도와주셔서 여행마무리까지 잘 할 수 있었습니다. 감사드립니다. 자녀들도 저도 또 다른 일본여행을 기다리게 되었어요! 하나투어 수고많으셨습니다 감사합니다.^^,"호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,26k****,가족여행으로 좋아요,40대,2024.08.14,처음으로 가는 일본 가족여행 패키지로 편하게 다녀와서 너무 좋았습니다.,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격만큼 가치 있어요
가이드가 전문적이에요"
5,hfd******,가족여행으로 좋아요,50대,2024.08.13,사슴공원을 방문했는데 경치도 아름답고 사슴들을 가까이서 볼수있는 것이 참 신기했어요..전체적으로 주변 거리들이 깨끗해서 좋은 인상을 받았습니다.. 날씨가 더워서 힘들었는데 반면 땀 흘리고 난 뒤의 카타르시스라 그럴까 왜 힘들게 걸어서 관광지까지 가는지 알게 되었습니다.,"객실이 깨끗해요
일정이 알차요
식당 뷰가 좋아요
가격만큼 가치 있어요
가이드가 전문적이에요"
3,212****,나홀로 여행으로 좋아요,40대,2024.08.12,"무더운 날씨를 예상하고 갔으나 열정적인 투어 일정으로 생각보다 너~~~무 더워 힘들었습니다. 또한, 가는날 오는날 모두 항고긍기 지연으로 첫날 12시간 이상, 오는날 5시간 정도 공항에서 대기 했습니다. 하나투어 잘못은 아니나 가는날부터 일정이 꼬이고 다음날 도 일어나기 힘들어 고생을 했습니다. 여행사의 잘못은 아니였으나 무더운 여름 여행은 삼가하는게 좋을듯 합니다.","객실이 깨끗해요
호텔 부대시설이 좋아요
일정이 알차요
가격만큼 가치 있어요
가이드가 열정적이에요"
1,mi7***,나홀로 여행으로 좋아요,40대,2024.08.12,너무더워서 많이힘들었어요,"호텔이 시내에 있어요
현지 음식이 맛있어요
가이드가 전문적이에요
일정이 여유로워요"
5,you******,가족여행으로 좋아요,40대,2024.08.11,아들과 둘이 함께 하는 여행이였어요 날씨가 많이 더워서 조금 고생은 했지만 김미림 가이드님의 세심한배려와 지루하지 않은 유쾌한 설명덕분에 너무 재미있고 즐거운 여행이였네요 해외 여행이 많지 않아.. 어려운 부분이 있을까..걱정을 많이 했는데 시작부터 끝까지 꼼꼼하게 설명해 주시고 미리 알려주신 덕분에 어려움 없이 잊지 못할 추억이 될 여행을 보내고 왔어요 기회가 된다면 또 다시 김미림 가이드님과 함께 일본 다시 한번 가보고 싶어요!,"객실이 깨끗해요
일정이 알차요
가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요"
5,kon*****,가족여행으로 좋아요,50대,2024.08.10,"여유롭고 편안했어요 호텔 조식도 맛있고, 가이드님이 세심하게 배려해 주시고 ... 여행이 즐거웠어요^^","호텔 부대시설이 좋아요
일정이 여유로워요
현지 음식이 다양해요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
5,kys******,가족여행으로 좋아요,50대,2024.08.10,"날씨는 더웠지만 이윤경가이드님의 배려와 꼼꼼함 , 자세한 설명 감동적이였습니다. 패키지 여행중에서 이윤경 가이드님이 최고입니다. 덕분에 즐거운 여행이였습니다. 짧은 여행이라서 아쉬움을 남기고 왔습니다","호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
